lambda,time_index,t,S,cash_slice,q,action,decision
0.0005,11,0.9166666666666666,95.39392014169457,8.916037278572539,0.5625,0.3125,SELL
0.0005,11,0.9166666666666666,101.98842215628537,8.916037278572539,0.5625,0.0625,SELL
0.0005,11,0.9166666666666666,109.03879658660087,8.916037278572539,0.5625,0.5625,HOLD
0.0005,11,0.9166666666666666,116.57655751193914,8.916037278572539,0.5625,0.5625,HOLD
0.0005,11,0.9166666666666666,124.63539755357544,8.916037278572539,0.5625,0.5625,HOLD
0.0005,11,0.9166666666666666,133.25133847554977,8.916037278572539,0.5625,0.5625,HOLD
0.0005,11,0.9166666666666666,142.46289219636049,8.916037278572539,0.5625,0.5625,HOLD
0.0005,11,0.9166666666666666,152.31123293126137,8.916037278572539,0.5625,0.5625,HOLD
0.0005,11,0.9166666666666666,162.8403812346133,8.916037278572539,0.5625,0.75,BUY
0.0005,11,0.9166666666666666,174.09740076492855,8.916037278572539,0.5625,0.625,BUY
0.0005,11,0.9166666666666666,186.13260865211907,8.916037278572539,0.5625,0.875,BUY
0.0005,11,0.9166666666666666,198.99980040725657,8.916037278572539,0.5625,0.8125,BUY
0.0005,11,0.9166666666666666,212.756490380156,8.916037278572539,0.5625,0.75,BUY
0.0005,11,0.9166666666666666,227.46416883959253,8.916037278572539,0.5625,1.0,BUY
0.0005,11,0.9166666666666666,243.18857682525737,8.916037278572539,0.5625,0.6875,BUY
0.0005,11,0.9166666666666666,259.99999999999994,8.916037278572539,0.5625,0.5625,HOLD
0.0005,11,0.9166666666666666,34.99999999999999,8.916037278572539,0.625,0.3125,SELL
0.0005,11,0.9166666666666666,37.419520763669695,8.916037278572539,0.625,0.0,SELL
0.0005,11,0.9166666666666666,40.00630097664878,8.916037278572539,0.625,0.625,HOLD
0.0005,11,0.9166666666666666,42.77190314495225,8.916037278572539,0.625,0.0625,SELL
0.0005,11,0.9166666666666666,45.72868908097741,8.916037278572539,0.625,0.375,SELL
0.0005,11,0.9166666666666666,48.88987515888658,8.916037278572539,0.625,0.125,SELL
0.0005,11,0.9166666666666666,52.269591389747866,8.916037278572539,0.625,0.1875,SELL
0.0005,11,0.9166666666666666,55.8829445804915,8.916037278572539,0.625,0.1875,SELL
0.0005,11,0.9166666666666666,59.74608585899154,8.916037278572539,0.625,0.0,SELL
0.0005,11,0.9166666666666666,63.87628286710074,8.916037278572539,0.625,0.25,SELL
0.0005,11,0.9166666666666666,68.29199694432899,8.916037278572539,0.625,0.0625,SELL
0.0005,11,0.9166666666666666,73.01296564716536,8.916037278572539,0.625,0.125,SELL
0.0005,11,0.9166666666666666,78.0602909728916,8.916037278572539,0.625,0.3125,SELL
0.0005,11,0.9166666666666666,83.4565336822347,8.916037278572539,0.625,0.0,SELL
0.0005,11,0.9166666666666666,89.22581414246514,8.916037278572539,0.625,0.0625,SELL
0.0005,11,0.9166666666666666,95.39392014169457,8.916037278572539,0.625,0.375,SELL
0.0005,11,0.9166666666666666,101.98842215628537,8.916037278572539,0.625,0.125,SELL
0.0005,11,0.9166666666666666,109.03879658660087,8.916037278572539,0.625,0.0,SELL
0.0005,11,0.9166666666666666,116.57655751193914,8.916037278572539,0.625,0.625,HOLD
0.0005,11,0.9166666666666666,124.63539755357544,8.916037278572539,0.625,0.625,HOLD
0.0005,11,0.9166666666666666,133.25133847554977,8.916037278572539,0.625,0.625,HOLD
0.0005,11,0.9166666666666666,142.46289219636049,8.916037278572539,0.625,0.625,HOLD
0.0005,11,0.9166666666666666,152.31123293126137,8.916037278572539,0.625,0.625,HOLD
0.0005,11,0.9166666666666666,162.8403812346133,8.916037278572539,0.625,0.625,HOLD
0.0005,11,0.9166666666666666,174.09740076492855,8.916037278572539,0.625,0.6875,BUY
0.0005,11,0.9166666666666666,186.13260865211907,8.916037278572539,0.625,0.625,HOLD
0.0005,11,0.9166666666666666,198.99980040725657,8.916037278572539,0.625,0.875,BUY
0.0005,11,0.9166666666666666,212.756490380156,8.916037278572539,0.625,0.8125,BUY
0.0005,11,0.9166666666666666,227.46416883959253,8.916037278572539,0.625,0.875,BUY
0.0005,11,0.9166666666666666,243.18857682525737,8.916037278572539,0.625,0.75,BUY
0.0005,11,0.9166666666666666,259.99999999999994,8.916037278572539,0.625,1.0,BUY
0.0005,11,0.9166666666666666,34.99999999999999,8.916037278572539,0.6875,0.0,SELL
0.0005,11,0.9166666666666666,37.419520763669695,8.916037278572539,0.6875,0.0625,SELL
0.0005,11,0.9166666666666666,40.00630097664878,8.916037278572539,0.6875,0.6875,HOLD
0.0005,11,0.9166666666666666,42.77190314495225,8.916037278572539,0.6875,0.125,SELL
0.0005,11,0.9166666666666666,45.72868908097741,8.916037278572539,0.6875,0.4375,SELL
0.0005,11,0.9166666666666666,48.88987515888658,8.916037278572539,0.6875,0.1875,SELL
0.0005,11,0.9166666666666666,52.269591389747866,8.916037278572539,0.6875,0.0,SELL
0.0005,11,0.9166666666666666,55.8829445804915,8.916037278572539,0.6875,0.25,SELL
0.0005,11,0.9166666666666666,59.74608585899154,8.916037278572539,0.6875,0.0625,SELL
0.0005,11,0.9166666666666666,63.87628286710074,8.916037278572539,0.6875,0.3125,SELL
0.0005,11,0.9166666666666666,68.29199694432899,8.916037278572539,0.6875,0.125,SELL
0.0005,11,0.9166666666666666,73.01296564716536,8.916037278572539,0.6875,0.1875,SELL
0.0005,11,0.9166666666666666,78.0602909728916,8.916037278572539,0.6875,0.0,SELL
0.0005,11,0.9166666666666666,83.4565336822347,8.916037278572539,0.6875,0.0625,SELL
0.0005,11,0.9166666666666666,89.22581414246514,8.916037278572539,0.6875,0.125,SELL
0.0005,11,0.9166666666666666,95.39392014169457,8.916037278572539,0.6875,0.4375,SELL
0.0005,11,0.9166666666666666,101.98842215628537,8.916037278572539,0.6875,0.1875,SELL
0.0005,11,0.9166666666666666,109.03879658660087,8.916037278572539,0.6875,0.0625,SELL
0.0005,11,0.9166666666666666,116.57655751193914,8.916037278572539,0.6875,0.375,SELL
0.0005,11,0.9166666666666666,124.63539755357544,8.916037278572539,0.6875,0.5,SELL
0.0005,11,0.9166666666666666,133.25133847554977,8.916037278572539,0.6875,0.6875,HOLD
0.0005,11,0.9166666666666666,142.46289219636049,8.916037278572539,0.6875,0.6875,HOLD
0.0005,11,0.9166666666666666,152.31123293126137,8.916037278572539,0.6875,0.6875,HOLD
0.0005,11,0.9166666666666666,162.8403812346133,8.916037278572539,0.6875,0.6875,HOLD
0.0005,11,0.9166666666666666,174.09740076492855,8.916037278572539,0.6875,0.6875,HOLD
0.0005,11,0.9166666666666666,186.13260865211907,8.916037278572539,0.6875,0.6875,HOLD
0.0005,11,0.9166666666666666,198.99980040725657,8.916037278572539,0.6875,0.6875,HOLD
0.0005,11,0.9166666666666666,212.756490380156,8.916037278572539,0.6875,0.6875,HOLD
0.0005,11,0.9166666666666666,227.46416883959253,8.916037278572539,0.6875,0.6875,HOLD
0.0005,11,0.9166666666666666,243.18857682525737,8.916037278572539,0.6875,0.0,SELL
0.0005,11,0.9166666666666666,259.99999999999994,8.916037278572539,0.6875,0.0,SELL
0.0005,11,0.9166666666666666,34.99999999999999,8.916037278572539,0.75,0.0625,SELL
0.0005,11,0.9166666666666666,37.419520763669695,8.916037278572539,0.75,0.125,SELL
0.0005,11,0.9166666666666666,40.00630097664878,8.916037278572539,0.75,0.75,HOLD
0.0005,11,0.9166666666666666,42.77190314495225,8.916037278572539,0.75,0.1875,SELL
0.0005,11,0.9166666666666666,45.72868908097741,8.916037278572539,0.75,0.5,SELL
0.0005,11,0.9166666666666666,48.88987515888658,8.916037278572539,0.75,0.0,SELL
0.0005,11,0.9166666666666666,52.269591389747866,8.916037278572539,0.75,0.0625,SELL
0.0005,11,0.9166666666666666,55.8829445804915,8.916037278572539,0.75,0.0625,SELL
0.0005,11,0.9166666666666666,59.74608585899154,8.916037278572539,0.75,0.125,SELL
0.0005,11,0.9166666666666666,63.87628286710074,8.916037278572539,0.75,0.375,SELL
0.0005,11,0.9166666666666666,68.29199694432899,8.916037278572539,0.75,0.0,SELL
0.0005,11,0.9166666666666666,73.01296564716536,8.916037278572539,0.75,0.25,SELL
0.0005,11,0.9166666666666666,78.0602909728916,8.916037278572539,0.75,0.0625,SELL
0.0005,11,0.9166666666666666,83.4565336822347,8.916037278572539,0.75,0.125,SELL
0.0005,11,0.9166666666666666,89.22581414246514,8.916037278572539,0.75,0.0,SELL
0.0005,11,0.9166666666666666,95.39392014169457,8.916037278572539,0.75,0.1875,SELL
0.0005,11,0.9166666666666666,101.98842215628537,8.916037278572539,0.75,0.25,SELL
0.0005,11,0.9166666666666666,109.03879658660087,8.916037278572539,0.75,0.125,SELL
0.0005,11,0.9166666666666666,116.57655751193914,8.916037278572539,0.75,0.3125,SELL
0.0005,11,0.9166666666666666,124.63539755357544,8.916037278572539,0.75,0.0625,SELL
0.0005,11,0.9166666666666666,133.25133847554977,8.916037278572539,0.75,0.75,HOLD
0.0005,11,0.9166666666666666,142.46289219636049,8.916037278572539,0.75,0.75,HOLD
0.0005,11,0.9166666666666666,152.31123293126137,8.916037278572539,0.75,0.1875,SELL
0.0005,11,0.9166666666666666,162.8403812346133,8.916037278572539,0.75,0.75,HOLD
0.0005,11,0.9166666666666666,174.09740076492855,8.916037278572539,0.75,0.75,HOLD
0.0005,11,0.9166666666666666,186.13260865211907,8.916037278572539,0.75,0.6875,SELL
0.0005,11,0.9166666666666666,198.99980040725657,8.916037278572539,0.75,0.5625,SELL
0.0005,11,0.9166666666666666,212.756490380156,8.916037278572539,0.75,0.0,SELL
0.0005,11,0.9166666666666666,227.46416883959253,8.916037278572539,0.75,0.0,SELL
0.0005,11,0.9166666666666666,243.18857682525737,8.916037278572539,0.75,0.0,SELL
0.0005,11,0.9166666666666666,259.99999999999994,8.916037278572539,0.75,0.0,SELL
0.0005,11,0.9166666666666666,34.99999999999999,8.916037278572539,0.8125,0.125,SELL
0.0005,11,0.9166666666666666,37.419520763669695,8.916037278572539,0.8125,0.1875,SELL
0.0005,11,0.9166666666666666,40.00630097664878,8.916037278572539,0.8125,0.1875,SELL
0.0005,11,0.9166666666666666,42.77190314495225,8.916037278572539,0.8125,0.25,SELL
0.0005,11,0.9166666666666666,45.72868908097741,8.916037278572539,0.8125,0.0,SELL
0.0005,11,0.9166666666666666,48.88987515888658,8.916037278572539,0.8125,0.0625,SELL
0.0005,11,0.9166666666666666,52.269591389747866,8.916037278572539,0.8125,0.125,SELL
0.0005,11,0.9166666666666666,55.8829445804915,8.916037278572539,0.8125,0.125,SELL
0.0005,11,0.9166666666666666,59.74608585899154,8.916037278572539,0.8125,0.1875,SELL
0.0005,11,0.9166666666666666,63.87628286710074,8.916037278572539,0.8125,0.0,SELL
0.0005,11,0.9166666666666666,68.29199694432899,8.916037278572539,0.8125,0.0625,SELL
0.0005,11,0.9166666666666666,73.01296564716536,8.916037278572539,0.8125,0.3125,SELL
0.0005,11,0.9166666666666666,78.0602909728916,8.916037278572539,0.8125,0.125,SELL
0.0005,11,0.9166666666666666,83.4565336822347,8.916037278572539,0.8125,0.0,SELL
0.0005,11,0.9166666666666666,89.22581414246514,8.916037278572539,0.8125,0.0625,SELL
0.0005,11,0.9166666666666666,95.39392014169457,8.916037278572539,0.8125,0.25,SELL
0.0005,11,0.9166666666666666,101.98842215628537,8.916037278572539,0.8125,0.3125,SELL
0.0005,11,0.9166666666666666,109.03879658660087,8.916037278572539,0.8125,0.1875,SELL
0.0005,11,0.9166666666666666,116.57655751193914,8.916037278572539,0.8125,0.375,SELL
0.0005,11,0.9166666666666666,124.63539755357544,8.916037278572539,0.8125,0.125,SELL
0.0005,11,0.9166666666666666,133.25133847554977,8.916037278572539,0.8125,0.3125,SELL
0.0005,11,0.9166666666666666,142.46289219636049,8.916037278572539,0.8125,0.4375,SELL
0.0005,11,0.9166666666666666,152.31123293126137,8.916037278572539,0.8125,0.25,SELL
0.0005,11,0.9166666666666666,162.8403812346133,8.916037278572539,0.8125,0.5,SELL
0.0005,11,0.9166666666666666,174.09740076492855,8.916037278572539,0.8125,0.8125,HOLD
0.0005,11,0.9166666666666666,186.13260865211907,8.916037278572539,0.8125,0.75,SELL
0.0005,11,0.9166666666666666,198.99980040725657,8.916037278572539,0.8125,0.0,SELL
0.0005,11,0.9166666666666666,212.756490380156,8.916037278572539,0.8125,0.0,SELL
0.0005,11,0.9166666666666666,227.46416883959253,8.916037278572539,0.8125,0.0,SELL
0.0005,11,0.9166666666666666,243.18857682525737,8.916037278572539,0.8125,0.0,SELL
0.0005,11,0.9166666666666666,259.99999999999994,8.916037278572539,0.8125,0.0,SELL
0.0005,11,0.9166666666666666,34.99999999999999,8.916037278572539,0.875,0.1875,SELL
0.0005,11,0.9166666666666666,37.419520763669695,8.916037278572539,0.875,0.25,SELL
0.0005,11,0.9166666666666666,40.00630097664878,8.916037278572539,0.875,0.25,SELL
0.0005,11,0.9166666666666666,42.77190314495225,8.916037278572539,0.875,0.0,SELL
0.0005,11,0.9166666666666666,45.72868908097741,8.916037278572539,0.875,0.0625,SELL
0.0005,11,0.9166666666666666,48.88987515888658,8.916037278572539,0.875,0.125,SELL
0.0005,11,0.9166666666666666,52.269591389747866,8.916037278572539,0.875,0.1875,SELL
0.0005,11,0.9166666666666666,55.8829445804915,8.916037278572539,0.875,0.1875,SELL
0.0005,11,0.9166666666666666,59.74608585899154,8.916037278572539,0.875,0.0,SELL
0.0005,11,0.9166666666666666,63.87628286710074,8.916037278572539,0.875,0.0625,SELL
0.0005,11,0.9166666666666666,68.29199694432899,8.916037278572539,0.875,0.125,SELL
0.0005,11,0.9166666666666666,73.01296564716536,8.916037278572539,0.875,0.375,SELL
0.0005,11,0.9166666666666666,78.0602909728916,8.916037278572539,0.875,0.0,SELL
0.0005,11,0.9166666666666666,83.4565336822347,8.916037278572539,0.875,0.0625,SELL
0.0005,11,0.9166666666666666,89.22581414246514,8.916037278572539,0.875,0.125,SELL
0.0005,11,0.9166666666666666,95.39392014169457,8.916037278572539,0.875,0.0,SELL
0.0005,11,0.9166666666666666,101.98842215628537,8.916037278572539,0.875,0.375,SELL
0.0005,11,0.9166666666666666,109.03879658660087,8.916037278572539,0.875,0.25,SELL
0.0005,11,0.9166666666666666,116.57655751193914,8.916037278572539,0.875,0.4375,SELL
0.0005,11,0.9166666666666666,124.63539755357544,8.916037278572539,0.875,0.1875,SELL
0.0005,11,0.9166666666666666,133.25133847554977,8.916037278572539,0.875,0.375,SELL
0.0005,11,0.9166666666666666,142.46289219636049,8.916037278572539,0.875,0.125,SELL
0.0005,11,0.9166666666666666,152.31123293126137,8.916037278572539,0.875,0.3125,SELL
0.0005,11,0.9166666666666666,162.8403812346133,8.916037278572539,0.875,0.5625,SELL
0.0005,11,0.9166666666666666,174.09740076492855,8.916037278572539,0.875,0.0,SELL
0.0005,11,0.9166666666666666,186.13260865211907,8.916037278572539,0.875,0.0,SELL
0.0005,11,0.9166666666666666,198.99980040725657,8.916037278572539,0.875,0.0,SELL
0.0005,11,0.9166666666666666,212.756490380156,8.916037278572539,0.875,0.0,SELL
0.0005,11,0.9166666666666666,227.46416883959253,8.916037278572539,0.875,0.0,SELL
0.0005,11,0.9166666666666666,243.18857682525737,8.916037278572539,0.875,0.0,SELL
0.0005,11,0.9166666666666666,259.99999999999994,8.916037278572539,0.875,0.0,SELL
0.0005,11,0.9166666666666666,34.99999999999999,8.916037278572539,0.9375,0.25,SELL
0.0005,11,0.9166666666666666,37.419520763669695,8.916037278572539,0.9375,0.3125,SELL
0.0005,11,0.9166666666666666,40.00630097664878,8.916037278572539,0.9375,0.0,SELL
0.0005,11,0.9166666666666666,42.77190314495225,8.916037278572539,0.9375,0.0625,SELL
0.0005,11,0.9166666666666666,45.72868908097741,8.916037278572539,0.9375,0.125,SELL
0.0005,11,0.9166666666666666,48.88987515888658,8.916037278572539,0.9375,0.1875,SELL
0.0005,11,0.9166666666666666,52.269591389747866,8.916037278572539,0.9375,0.25,SELL
0.0005,11,0.9166666666666666,55.8829445804915,8.916037278572539,0.9375,0.0,SELL
0.0005,11,0.9166666666666666,59.74608585899154,8.916037278572539,0.9375,0.0625,SELL
0.0005,11,0.9166666666666666,63.87628286710074,8.916037278572539,0.9375,0.125,SELL
0.0005,11,0.9166666666666666,68.29199694432899,8.916037278572539,0.9375,0.1875,SELL
0.0005,11,0.9166666666666666,73.01296564716536,8.916037278572539,0.9375,0.0,SELL
0.0005,11,0.9166666666666666,78.0602909728916,8.916037278572539,0.9375,0.0625,SELL
0.0005,11,0.9166666666666666,83.4565336822347,8.916037278572539,0.9375,0.125,SELL
0.0005,11,0.9166666666666666,89.22581414246514,8.916037278572539,0.9375,0.1875,SELL
0.0005,11,0.9166666666666666,95.39392014169457,8.916037278572539,0.9375,0.0625,SELL
0.0005,11,0.9166666666666666,101.98842215628537,8.916037278572539,0.9375,0.4375,SELL
0.0005,11,0.9166666666666666,109.03879658660087,8.916037278572539,0.9375,0.3125,SELL
0.0005,11,0.9166666666666666,116.57655751193914,8.916037278572539,0.9375,0.1875,SELL
0.0005,11,0.9166666666666666,124.63539755357544,8.916037278572539,0.9375,0.25,SELL
0.0005,11,0.9166666666666666,133.25133847554977,8.916037278572539,0.9375,0.4375,SELL
0.0005,11,0.9166666666666666,142.46289219636049,8.916037278572539,0.9375,0.1875,SELL
0.0005,11,0.9166666666666666,152.31123293126137,8.916037278572539,0.9375,0.375,SELL
0.0005,11,0.9166666666666666,162.8403812346133,8.916037278572539,0.9375,0.0,SELL
0.0005,11,0.9166666666666666,174.09740076492855,8.916037278572539,0.9375,0.0,SELL
0.0005,11,0.9166666666666666,186.13260865211907,8.916037278572539,0.9375,0.0,SELL
0.0005,11,0.9166666666666666,198.99980040725657,8.916037278572539,0.9375,0.0,SELL
0.0005,11,0.9166666666666666,212.756490380156,8.916037278572539,0.9375,0.0,SELL
0.0005,11,0.9166666666666666,227.46416883959253,8.916037278572539,0.9375,0.0,SELL
0.0005,11,0.9166666666666666,243.18857682525737,8.916037278572539,0.9375,0.0,SELL
0.0005,11,0.9166666666666666,259.99999999999994,8.916037278572539,0.9375,0.0,SELL
0.0005,11,0.9166666666666666,34.99999999999999,8.916037278572539,1.0,0.3125,SELL
0.0005,11,0.9166666666666666,37.419520763669695,8.916037278572539,1.0,0.0,SELL
0.0005,11,0.9166666666666666,40.00630097664878,8.916037278572539,1.0,0.0625,SELL
0.0005,11,0.9166666666666666,42.77190314495225,8.916037278572539,1.0,0.125,SELL
0.0005,11,0.9166666666666666,45.72868908097741,8.916037278572539,1.0,0.1875,SELL
0.0005,11,0.9166666666666666,48.88987515888658,8.916037278572539,1.0,0.25,SELL
0.0005,11,0.9166666666666666,52.269591389747866,8.916037278572539,1.0,0.0,SELL
0.0005,11,0.9166666666666666,55.8829445804915,8.916037278572539,1.0,0.0625,SELL
0.0005,11,0.9166666666666666,59.74608585899154,8.916037278572539,1.0,0.125,SELL
0.0005,11,0.9166666666666666,63.87628286710074,8.916037278572539,1.0,0.1875,SELL
0.0005,11,0.9166666666666666,68.29199694432899,8.916037278572539,1.0,0.0,SELL
0.0005,11,0.9166666666666666,73.01296564716536,8.916037278572539,1.0,0.0625,SELL
0.0005,11,0.9166666666666666,78.0602909728916,8.916037278572539,1.0,0.125,SELL
0.0005,11,0.9166666666666666,83.4565336822347,8.916037278572539,1.0,0.1875,SELL
0.0005,11,0.9166666666666666,89.22581414246514,8.916037278572539,1.0,0.0625,SELL
0.0005,11,0.9166666666666666,95.39392014169457,8.916037278572539,1.0,0.125,SELL
0.0005,11,0.9166666666666666,101.98842215628537,8.916037278572539,1.0,0.5,SELL
0.0005,11,0.9166666666666666,109.03879658660087,8.916037278572539,1.0,0.375,SELL
0.0005,11,0.9166666666666666,116.57655751193914,8.916037278572539,1.0,0.25,SELL
0.0005,11,0.9166666666666666,124.63539755357544,8.916037278572539,1.0,0.3125,SELL
0.0005,11,0.9166666666666666,133.25133847554977,8.916037278572539,1.0,0.5,SELL
0.0005,11,0.9166666666666666,142.46289219636049,8.916037278572539,1.0,0.25,SELL
0.0005,11,0.9166666666666666,152.31123293126137,8.916037278572539,1.0,0.0,SELL
0.0005,11,0.9166666666666666,162.8403812346133,8.916037278572539,1.0,0.0,SELL
0.0005,11,0.9166666666666666,174.09740076492855,8.916037278572539,1.0,0.0,SELL
0.0005,11,0.9166666666666666,186.13260865211907,8.916037278572539,1.0,0.0,SELL
0.0005,11,0.9166666666666666,198.99980040725657,8.916037278572539,1.0,0.0,SELL
0.0005,11,0.9166666666666666,212.756490380156,8.916037278572539,1.0,0.0,SELL
0.0005,11,0.9166666666666666,227.46416883959253,8.916037278572539,1.0,0.0,SELL
0.0005,11,0.9166666666666666,243.18857682525737,8.916037278572539,1.0,0.0,SELL
0.0005,11,0.9166666666666666,259.99999999999994,8.916037278572539,1.0,0.0,SELL
0.002,0,0.0,34.99999999999999,8.916037278572539,0.0,0.0,HOLD
0.002,0,0.0,37.419520763669695,8.916037278572539,0.0,0.0,HOLD
0.002,0,0.0,40.00630097664878,8.916037278572539,0.0,0.0,HOLD
0.002,0,0.0,42.77190314495225,8.916037278572539,0.0,0.0,HOLD
0.002,0,0.0,45.72868908097741,8.916037278572539,0.0,0.0,HOLD
0.002,0,0.0,48.88987515888658,8.916037278572539,0.0,0.0,HOLD
0.002,0,0.0,52.269591389747866,8.916037278572539,0.0,0.0,HOLD
0.002,0,0.0,55.8829445804915,8.916037278572539,0.0,0.0,HOLD
0.002,0,0.0,59.74608585899154,8.916037278572539,0.0,0.0,HOLD
0.002,0,0.0,63.87628286710074,8.916037278572539,0.0,0.0,HOLD
0.002,0,0.0,68.29199694432899,8.916037278572539,0.0,0.0,HOLD
0.002,0,0.0,73.01296564716536,8.916037278572539,0.0,0.0,HOLD
0.002,0,0.0,78.0602909728916,8.916037278572539,0.0,0.0,HOLD
0.002,0,0.0,83.4565336822347,8.916037278572539,0.0,0.25,BUY
0.002,0,0.0,89.22581414246514,8.916037278572539,0.0,0.125,BUY
0.002,0,0.0,95.39392014169457,8.916037278572539,0.0,0.625,BUY
0.002,0,0.0,101.98842215628537,8.916037278572539,0.0,0.875,BUY
0.002,0,0.0,109.03879658660087,8.916037278572539,0.0,0.8125,BUY
0.002,0,0.0,116.57655751193914,8.916037278572539,0.0,0.9375,BUY
0.002,0,0.0,124.63539755357544,8.916037278572539,0.0,1.0,BUY
0.002,0,0.0,133.25133847554977,8.916037278572539,0.0,1.0,BUY
0.002,0,0.0,142.46289219636049,8.916037278572539,0.0,1.0,BUY
0.002,0,0.0,152.31123293126137,8.916037278572539,0.0,1.0,BUY
0.002,0,0.0,162.8403812346133,8.916037278572539,0.0,1.0,BUY
0.002,0,0.0,174.09740076492855,8.916037278572539,0.0,1.0,BUY
0.002,0,0.0,186.13260865211907,8.916037278572539,0.0,1.0,BUY
0.002,0,0.0,198.99980040725657,8.916037278572539,0.0,1.0,BUY
0.002,0,0.0,212.756490380156,8.916037278572539,0.0,1.0,BUY
0.002,0,0.0,227.46416883959253,8.916037278572539,0.0,1.0,BUY
0.002,0,0.0,243.18857682525737,8.916037278572539,0.0,0.875,BUY
0.002,0,0.0,259.99999999999994,8.916037278572539,0.0,0.0,HOLD
0.002,0,0.0,34.99999999999999,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,37.419520763669695,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,40.00630097664878,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,42.77190314495225,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,45.72868908097741,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,48.88987515888658,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,52.269591389747866,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,55.8829445804915,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,59.74608585899154,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,63.87628286710074,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,68.29199694432899,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,73.01296564716536,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,78.0602909728916,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,83.4565336822347,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,89.22581414246514,8.916037278572539,0.0625,0.1875,BUY
0.002,0,0.0,95.39392014169457,8.916037278572539,0.0625,0.375,BUY
0.002,0,0.0,101.98842215628537,8.916037278572539,0.0625,0.5625,BUY
0.002,0,0.0,109.03879658660087,8.916037278572539,0.0625,0.875,BUY
0.002,0,0.0,116.57655751193914,8.916037278572539,0.0625,0.8125,BUY
0.002,0,0.0,124.63539755357544,8.916037278572539,0.0625,0.9375,BUY
0.002,0,0.0,133.25133847554977,8.916037278572539,0.0625,1.0,BUY
0.002,0,0.0,142.46289219636049,8.916037278572539,0.0625,1.0,BUY
0.002,0,0.0,152.31123293126137,8.916037278572539,0.0625,1.0,BUY
0.002,0,0.0,162.8403812346133,8.916037278572539,0.0625,1.0,BUY
0.002,0,0.0,174.09740076492855,8.916037278572539,0.0625,1.0,BUY
0.002,0,0.0,186.13260865211907,8.916037278572539,0.0625,1.0,BUY
0.002,0,0.0,198.99980040725657,8.916037278572539,0.0625,1.0,BUY
0.002,0,0.0,212.756490380156,8.916037278572539,0.0625,1.0,BUY
0.002,0,0.0,227.46416883959253,8.916037278572539,0.0625,0.875,BUY
0.002,0,0.0,243.18857682525737,8.916037278572539,0.0625,0.0625,HOLD
0.002,0,0.0,259.99999999999994,8.916037278572539,0.0625,0.0,SELL
0.002,0,0.0,34.99999999999999,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,37.419520763669695,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,40.00630097664878,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,42.77190314495225,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,45.72868908097741,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,48.88987515888658,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,52.269591389747866,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,55.8829445804915,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,59.74608585899154,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,63.87628286710074,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,68.29199694432899,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,73.01296564716536,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,78.0602909728916,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,83.4565336822347,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,89.22581414246514,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,95.39392014169457,8.916037278572539,0.125,0.125,HOLD
0.002,0,0.0,101.98842215628537,8.916037278572539,0.125,0.625,BUY
0.002,0,0.0,109.03879658660087,8.916037278572539,0.125,0.75,BUY
0.002,0,0.0,116.57655751193914,8.916037278572539,0.125,0.875,BUY
0.002,0,0.0,124.63539755357544,8.916037278572539,0.125,1.0,BUY
0.002,0,0.0,133.25133847554977,8.916037278572539,0.125,0.9375,BUY
0.002,0,0.0,142.46289219636049,8.916037278572539,0.125,1.0,BUY
0.002,0,0.0,152.31123293126137,8.916037278572539,0.125,1.0,BUY
0.002,0,0.0,162.8403812346133,8.916037278572539,0.125,1.0,BUY
0.002,0,0.0,174.09740076492855,8.916037278572539,0.125,1.0,BUY
0.002,0,0.0,186.13260865211907,8.916037278572539,0.125,1.0,BUY
0.002,0,0.0,198.99980040725657,8.916037278572539,0.125,1.0,BUY
